id,name,nick,debate,year,developer_id,url,image
MARK1,Manchester Mark 1,Electronic brain,Can an electronic computer ever be truly creative.,1949,VUM,https://en.wikipedia.org/wiki/Manchester_Mark_1,https://upload.wikimedia.org/wikipedia/en/d/d8/Manchester_Mark2.jpg
LOGTHE,Logic Theorist,The first artificial intelligence program,"Logic Theorist proved 38 of the first 52 theorems in chapter two of Whitehead and Bertrand Russell's Principia Mathematica, and found new and shorter proofs for some of them.",1956,AHC,https://en.wikipedia.org/wiki/Logic_Theorist,https://img.youtube.com/vi/HfPXr90HXSY/0.jpg
NAVLAB1,Navlab 1,Warp supercomputer,"The vehicle suffered from software limitations and was not fully functional until the late 80s, when it achieved its top speed of 20 mph (32 km/h).",1986,CMU,https://en.wikipedia.org/wiki/Navlab,https://www.cs.cmu.edu/afs/cs/project/alv/www/img2/textured_car_after.png
NAVLAB5,Navlab 5,From Pittsburgh to San Diego,"Our current work involves pedestrian detection, surround sensing, and short range sensing for vehicle control.",1995,CMU,https://en.wikipedia.org/wiki/Navlab,https://www.cs.cmu.edu/afs/cs/project/alv/www/img2/detection.png
DEEPBLU,Deep Blue,Alien opponent,Behind Deep Blue: Building the Computer that Defeated the World Chess Champion,1997,CMU,https://en.wikipedia.org/wiki/Deep_Blue_(chess_computer),https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Deep_Blue.jpg/220px-Deep_Blue.jpg
